,authname1,authname2,value
463,Bove L.,Herhausen D.,1
464,Benoit S.,Herhausen D.,1
465,Herhausen D.,de Ruyter K.,1
466,Herhausen D.,Urwin P.,1
467,Bove L.,Grewal D.,1
468,Benoit S.,Grewal D.,1
469,Grewal D.,de Ruyter K.,1
470,Grewal D.,Urwin P.,1
471,Benoit S.,Bove L.,1
472,Bove L.,de Ruyter K.,1
473,Bove L.,Urwin P.,1
474,Benoit S.,de Ruyter K.,1
475,Benoit S.,Urwin P.,1
476,Urwin P.,de Ruyter K.,1
477,Bilro R.G.,dos Santos J.F.,1
478,Loureiro S.M.C.,dos Santos J.F.,1
479,Cooper H.B.,Shumanov M.,1
480,Ewing M.T.,Shumanov M.,1
481,Junque De Fortuny E.,Lee J.k.,1
482,Chakraborty I.,Kim M.,1
483,Chakraborty I.,Sudhir K.,1
484,Kim M.,Sudhir K.,1
485,Li J.,McCrary R.,1
486,Cui G.,Peng L.,1
487,Bao Z.,Peng L.,1
488,Liu S.,Peng L.,1
489,Bao Z.,Cui G.,1
490,Cui G.,Liu S.,1
491,Bao Z.,Liu S.,1
492,Schwartz H.A.,Swaminathan V.,1
493,Menezes R.,Swaminathan V.,1
494,Hill S.,Swaminathan V.,1
495,Menezes R.,Schwartz H.A.,1
496,Hill S.,Schwartz H.A.,1
497,Hill S.,Menezes R.,1
498,Arora S.,Vadakkepatt G.G.,1
499,Martin K.D.,Vadakkepatt G.G.,1
500,Paharia N.,Vadakkepatt G.G.,1
501,Arora S.,Martin K.D.,1
502,Arora S.,Paharia N.,1
503,Martin K.D.,Paharia N.,1
504,Danner H.,Thøgersen J.,1
505,Agrawal S.R.,Mittal D.,1
506,Liu X.,Shi Z.,1
507,Shi Z.,Srinivasan K.,1
508,Liu X.,Srinivasan K.,1
509,Mariani M.M.,Perez-Vega R.,1
510,Mariani M.M.,Wirtz J.,1
511,Perez-Vega R.,Wirtz J.,1
512,Messenger D.,Riedel A.,1
513,Fleischman D.,Riedel A.,1
514,Mulcahy R.,Riedel A.,1
515,Fleischman D.,Messenger D.,1
516,Messenger D.,Mulcahy R.,1
517,Fleischman D.,Mulcahy R.,1
518,Burki U.,Najam U.,1
519,Burki U.,Dahlstrom R.,1
520,Dahlstrom R.,Najam U.,1
521,Zaremba A.,Zaremba A.,1
522,Büyükeke A.,Penpece Demirer D.,1
523,Iacobucci D.,Moon S.,1
524,Fuchs M.,Gelter J.,1
525,Gelter J.,Lexhagen M.,1
526,Fuchs M.,Lexhagen M.,1
527,Alantari H.J.,Currim I.S.,1
528,Alantari H.J.,Deng Y.,1
529,Alantari H.J.,Singh S.,1
530,Currim I.S.,Deng Y.,1
531,Currim I.S.,Singh S.,1
532,Deng Y.,Singh S.,1
533,Rave J.I.P.,Álvarez G.P.J.,1
534,Morales J.C.C.,Rave J.I.P.,1
535,Morales J.C.C.,Álvarez G.P.J.,1
536,Oh Y.K.,Yi J.,1
537,Chung J.,Johar G.V.,1
538,Chung J.,Li Y.,1
539,Chung J.,Netzer O.,1
540,Chung J.,Pearson M.,1
541,Johar G.V.,Li Y.,1
542,Johar G.V.,Netzer O.,1
543,Johar G.V.,Pearson M.,1
544,Li Y.,Netzer O.,1
545,Li Y.,Pearson M.,1
546,Netzer O.,Pearson M.,1
547,Narang U.,Yadav M.S.,1
548,Narang U.,Rindfleisch A.,1
549,Rindfleisch A.,Yadav M.S.,1
550,Leonas K.K.,Li J.,1
551,Das S.,Mondal S.,1
552,Das S.,Puri V.,1
553,Das S.,Vrana V.,1
554,Mondal S.,Puri V.,1
555,Mondal S.,Vrana V.,1
556,Puri V.,Vrana V.,1
557,Klaus P.,Manthiou A.,1
558,Klaus P.,Luong V.H.,1
559,Luong V.H.,Manthiou A.,1
560,Murtas G.,Pedeliento G.,1
561,Mangiò F.,Murtas G.,1
562,Andreini D.,Murtas G.,1
563,Mangiò F.,Pedeliento G.,1
564,Andreini D.,Pedeliento G.,1
565,Andreini D.,Mangiò F.,1
566,Xiao J.,Yang Z.,1
567,Li Z.,Xiao J.,1
568,Chen Z.,Xiao J.,1
569,Li Z.,Yang Z.,1
570,Chen Z.,Yang Z.,1
571,Chen Z.,Li Z.,1
572,Hoban P.R.,Hong J.,1
573,Pérez Rave J.I.,Álvarez G.P.J.,1
574,Correa Morales J.C.,Pérez Rave J.I.,1
575,Correa Morales J.C.,Álvarez G.P.J.,1
576,Yao A.,Yao A.,1
577,D’Alessandro S.,Mehmet M.I.,1
578,Taka T.,Taka T.,1
579,Berger J.,Hsu M.,2
580,Berger J.,Humphreys A.,2
581,Berger J.,Luangrath A.W.,2
582,Berger J.,Moore S.,2
583,Berger J.,Nave G.,2
584,Berger J.,Olivola C.,2
585,Hsu M.,Packard G.,2
586,Humphreys A.,Packard G.,2
587,Luangrath A.W.,Packard G.,2
588,Moore S.,Packard G.,2
589,Nave G.,Packard G.,2
590,Olivola C.,Packard G.,2
591,Boghrati R.,Hsu M.,2
592,Boghrati R.,Humphreys A.,2
593,Boghrati R.,Luangrath A.W.,2
594,Boghrati R.,Moore S.,2
595,Boghrati R.,Nave G.,2
596,Boghrati R.,Olivola C.,2
597,Boghrati R.,Rocklage M.D.,2
598,Hsu M.,Humphreys A.,2
599,Hsu M.,Luangrath A.W.,2
600,Hsu M.,Moore S.,2
601,Hsu M.,Nave G.,2
602,Hsu M.,Olivola C.,2
603,Hsu M.,Rocklage M.D.,2
604,Humphreys A.,Luangrath A.W.,2
605,Humphreys A.,Moore S.,2
606,Humphreys A.,Nave G.,2
607,Humphreys A.,Olivola C.,2
608,Humphreys A.,Rocklage M.D.,2
609,Luangrath A.W.,Moore S.,2
610,Luangrath A.W.,Nave G.,2
611,Luangrath A.W.,Olivola C.,2
612,Luangrath A.W.,Rocklage M.D.,2
613,Moore S.,Nave G.,2
614,Moore S.,Olivola C.,2
615,Moore S.,Rocklage M.D.,2
