,authname1,authname2,value
698,Ludwig S.,Wetzels M.,1
699,Mahr D.,de Ruyter K.,1
700,Wetzels M.,de Ruyter K.,1
701,Mahr D.,Wetzels M.,1
702,Brockett P.,Garg R.,1
703,Garg R.,Golden L.L.,2
704,Garg R.,Zhang Y.,2
705,Brockett P.,Golden L.L.,1
706,Brockett P.,Zhang Y.,1
707,Golden L.L.,Zhang Y.,2
708,Bravo M.,Golden L.L.,1
709,Brocket P.,Golden L.L.,1
710,Emrich C.,Golden L.L.,1
711,Gamble A.,Golden L.L.,1
712,Golden L.L.,Jones C.,1
713,Golden L.L.,Peterson R.A.,1
714,Golden L.L.,Phillips P.,1
715,Golden L.L.,Nance P.,1
716,Golden L.L.,Walch A.,1
717,Bravo M.,Brocket P.,1
718,Bravo M.,Emrich C.,1
719,Bravo M.,Gamble A.,1
720,Bravo M.,Garg R.,1
721,Bravo M.,Jones C.,1
722,Bravo M.,Peterson R.A.,1
723,Bravo M.,Phillips P.,1
724,Bravo M.,Nance P.,1
725,Bravo M.,Walch A.,1
726,Bravo M.,Zhang Y.,1
727,Brocket P.,Emrich C.,1
728,Brocket P.,Gamble A.,1
729,Brocket P.,Garg R.,1
730,Brocket P.,Jones C.,1
731,Brocket P.,Peterson R.A.,1
732,Brocket P.,Phillips P.,1
733,Brocket P.,Nance P.,1
734,Brocket P.,Walch A.,1
735,Brocket P.,Zhang Y.,1
736,Emrich C.,Gamble A.,1
737,Emrich C.,Garg R.,1
738,Emrich C.,Jones C.,1
739,Emrich C.,Peterson R.A.,1
740,Emrich C.,Phillips P.,1
741,Emrich C.,Nance P.,1
742,Emrich C.,Walch A.,1
743,Emrich C.,Zhang Y.,1
744,Gamble A.,Garg R.,1
745,Gamble A.,Jones C.,1
746,Gamble A.,Peterson R.A.,1
747,Gamble A.,Phillips P.,1
748,Gamble A.,Nance P.,1
749,Gamble A.,Walch A.,1
750,Gamble A.,Zhang Y.,1
751,Garg R.,Jones C.,1
752,Garg R.,Peterson R.A.,1
753,Garg R.,Phillips P.,1
754,Garg R.,Nance P.,1
755,Garg R.,Walch A.,1
756,Jones C.,Peterson R.A.,1
757,Jones C.,Phillips P.,1
758,Jones C.,Nance P.,1
759,Jones C.,Walch A.,1
760,Jones C.,Zhang Y.,1
761,Peterson R.A.,Phillips P.,1
762,Nance P.,Peterson R.A.,1
763,Peterson R.A.,Walch A.,1
764,Peterson R.A.,Zhang Y.,1
765,Nance P.,Phillips P.,1
766,Phillips P.,Walch A.,1
767,Phillips P.,Zhang Y.,1
768,Nance P.,Walch A.,1
769,Nance P.,Zhang Y.,1
770,Walch A.,Zhang Y.,1
771,Calciu M.,Moulins J.L.,1
772,Calciu M.,Salerno F.,1
773,Moulins J.L.,Salerno F.,1
774,Kauffmann E.,Peral J.,1
775,Gil D.,Kauffmann E.,1
776,Ferrández A.,Kauffmann E.,1
777,Kauffmann E.,Sellers R.,1
778,Kauffmann E.,Mora H.,1
779,Gil D.,Peral J.,1
780,Ferrández A.,Peral J.,1
781,Peral J.,Sellers R.,1
782,Mora H.,Peral J.,1
783,Ferrández A.,Gil D.,1
784,Gil D.,Sellers R.,1
785,Gil D.,Mora H.,1
786,Ferrández A.,Sellers R.,1
787,Ferrández A.,Mora H.,1
788,Mora H.,Sellers R.,1
789,Somers D.,Somers D.,1
790,Hauser J.R.,Timoshenko A.,1
791,Casais B.,Gomes R.F.,1
792,Kim J.,Lee J.,1
793,Kim M.,Moon J.,1
794,Han D.,Moon J.,1
795,Han D.,Kim M.,1
796,Irmanova A.,Krestinskaya O.,1
797,Irmanova A.,James A.,1
798,James A.,Krestinskaya O.,1
799,Baric M.,Nemet S.,1
800,Bencic F.,Nemet S.,1
801,Kukolj D.,Nemet S.,1
802,Baric M.,Bencic F.,1
803,Baric M.,Kukolj D.,1
804,Bencic F.,Kukolj D.,1
805,Nave M.,Rita P.,1
806,Guerreiro J.,Nave M.,1
807,Guerreiro J.,Rita P.,1
808,Balducci B.,Marinova D.,1
809,Chakrabarti S.,Trehan D.,1
810,Chakrabarti S.,Makhija M.,1
811,Makhija M.,Trehan D.,1
812,Pacheco B.G.,Rambocas M.,1
813,Jiang H.,Starkman J.,1
814,Jiang H.,Liu M.,1
815,Huang M.,Jiang H.,1
816,Liu M.,Starkman J.,1
817,Huang M.,Starkman J.,1
818,Huang M.,Liu M.,1
819,Albert N.,Thomson M.,1
820,Dilip R.C.,Lucas T.,1
821,Dilip R.C.,Saarangan A.,1
822,Dilip R.C.,Sumathipala S.,1
823,Dilip R.C.,Premachandra C.,1
824,Lucas T.,Saarangan A.,1
825,Lucas T.,Sumathipala S.,1
826,Lucas T.,Premachandra C.,1
827,Saarangan A.,Sumathipala S.,1
828,Premachandra C.,Saarangan A.,1
829,Premachandra C.,Sumathipala S.,1
830,Chen S.,Vidden C.,1
831,Chen S.,Nelson N.,1
832,Chen S.,Vriens M.,1
833,Nelson N.,Vidden C.,1
834,Vidden C.,Vriens M.,1
835,Nelson N.,Vriens M.,1
836,Copulsky J.,Sotolongo N.,1
837,Burns A.C.,Liu X.,1
838,Money A.,Treen E.,1
839,Archer-Brown C.,Kampani J.,1
840,Hang H.,Kampani J.,1
841,Archer-Brown C.,Hang H.,1
842,Luna-Nevarez C.,Luna-Nevarez C.,1
843,Chang Y.Y.,Chang Y.Y.,1
844,Besson M.,Gurviez P.,1
845,Blumenthal D.,Gurviez P.,1
846,Besson M.,Blumenthal D.,1
847,Jain V.,Merchant A.,1
848,Deshmukh S.,Jain V.,1
849,Ganesh B.E.,Jain V.,1
850,Deshmukh S.,Merchant A.,1
851,Ganesh B.E.,Merchant A.,1
852,Deshmukh S.,Ganesh B.E.,1
853,Grant P.,Treen E.,1
854,Treen E.,Van Heerden G.,1
855,Treen E.,Vella J.,1
856,Botha E.,Treen E.,1
857,Chan A.,Treen E.,1
858,Grant P.,Van Heerden G.,1
859,Grant P.,Vella J.,1
860,Botha E.,Grant P.,1
861,Chan A.,Grant P.,1
862,Van Heerden G.,Vella J.,1
863,Botha E.,Van Heerden G.,1
864,Chan A.,Van Heerden G.,1
865,Botha E.,Vella J.,1
866,Chan A.,Vella J.,1
867,Botha E.,Chan A.,1
868,Fox A.K.,Frost R.,1
869,Frost R.,Strauss J.,1
870,Fox A.K.,Strauss J.,1
871,Bhat S.,Chakraborty U.,1
