"","entry_number","@_fa","@seq","author_url","authid","orcid","authname","surname","given_name","initials","afid.@_fa","afid"
"84",24,"true","2","https://api.elsevier.com/content/author/author_id/27467492100","27467492100",NA,"Loureiro S.M.C.","Loureiro","Sandra Maria Correia","S.M.C.","true","60028300"
"85",24,"true","3","https://api.elsevier.com/content/author/author_id/58172263200","58172263200",NA,"Souto P.","Souto","Pedro","P.","true","60028300"
"86",25,"true","1","https://api.elsevier.com/content/author/author_id/58164669300","58164669300",NA,"Dey A.","Dey","Amrita","A.","true","60025488"
"87",25,"true","2","https://api.elsevier.com/content/author/author_id/7102012114","7102012114",NA,"Carson S.J.","Carson","Stephen J.","S.J.","true","60025488"
"88",26,"true","1","https://api.elsevier.com/content/author/author_id/55520009700","55520009700",NA,"de Regt A.","de Regt","Anouk","A.","true","60011520"
"89",26,"true","2","https://api.elsevier.com/content/author/author_id/57320987900","57320987900",NA,"Cheng Z.","Cheng","Zixuan","Z.","true","60011520"
"90",26,"true","3","https://api.elsevier.com/content/author/author_id/57466735700","57466735700",NA,"Fawaz R.","Fawaz","Rayan","R.","true","60011520"
"91",27,"true","1","https://api.elsevier.com/content/author/author_id/7201656890","7201656890",NA,"Mathur A.","Mathur","Anil","A.","true","60029304"
"92",28,"true","1","https://api.elsevier.com/content/author/author_id/58164653700","58164653700",NA,"Wen Z.","Wen","Zhezhu","Z.","true","60020638"
"93",28,"true","2","https://api.elsevier.com/content/author/author_id/16239928500","16239928500",NA,"Pentina I.","Pentina","Iryna","I.","true","60021624"
"94",29,"true","1","https://api.elsevier.com/content/author/author_id/57200160670","57200160670",NA,"Amjad T.","Amjad","Tayyab","T.","true","60107208"
"95",29,"true","2","https://api.elsevier.com/content/author/author_id/57214893603","57214893603",NA,"Dent M.M.","Dent","Michael M.","M.M.","true","60107208"
"96",29,"true","3","https://api.elsevier.com/content/author/author_id/57218897485","57218897485",NA,"Abu Mansor N.N.","Abu Mansor","Nur Naha","N.N.","true","60071785"
"97",30,"true","1","https://api.elsevier.com/content/author/author_id/57203395389","57203395389",NA,"Ferreira C.","Ferreira","Caitlin","C.","true","60000356"
"98",30,"true","2","https://api.elsevier.com/content/author/author_id/57203390812","57203390812",NA,"Robertson J.","Robertson","Jeandri","J.","true","60000356"
"99",30,"true","3","https://api.elsevier.com/content/author/author_id/56677645500","56677645500",NA,"Chohan R.","Chohan","Raeesah","R.","true","60000356"
"100",30,"true","4","https://api.elsevier.com/content/author/author_id/57192699976","57192699976",NA,"Pitt C.","Pitt","Christine","C.","true","100355100"
"101",31,"true","1","https://api.elsevier.com/content/author/author_id/57203059144","57203059144","0000-0001-8668-3591","Jung M.","Jung","Minji","M.","true","60007511"
"102",31,"true","2","https://api.elsevier.com/content/author/author_id/57203064523","57203064523","0000-0002-8089-6593","Lee Y.L.","Lee","Yu Lim","Y.L.","true","60007511"
"103",31,"true","3","https://api.elsevier.com/content/author/author_id/24597112400","24597112400","0000-0001-7310-0510","Chung J.E.","Chung","Jae Eun","J.E.","true","60007511"
"104",32,"true","1","https://api.elsevier.com/content/author/author_id/55330031100","55330031100","0000-0002-5281-1310","Boghrati R.","Boghrati","Reihane","R.","true","60003892"
"105",32,"true","2","https://api.elsevier.com/content/author/author_id/22833662100","22833662100",NA,"Berger J.","Berger","Jonah","J.","true","60006297"
"106",32,"true","3","https://api.elsevier.com/content/author/author_id/55765549300","55765549300","0000-0002-8765-1994","Packard G.","Packard","Grant","G.","true","60033420"
"107",33,"true","1","https://api.elsevier.com/content/author/author_id/57283351000","57283351000",NA,"Srivastava V.","Srivastava","Vartika","V.","true","60022123"
"108",33,"true","2","https://api.elsevier.com/content/author/author_id/36465156300","36465156300",NA,"Kalro A.D.","Kalro","Arti D.","A.D.","true","60211905"
"109",33,"true","3","https://api.elsevier.com/content/author/author_id/57223400087","57223400087","0000-0002-6599-2114","Raizada G.","Raizada","Gaurav","G.","true","60033308"
"110",33,"true","4","https://api.elsevier.com/content/author/author_id/57189730431","57189730431",NA,"Sharma D.","Sharma","Dinesh","D.","true","60211905"
"111",34,"true","1","https://api.elsevier.com/content/author/author_id/58149870300","58149870300",NA,"Wang Q.","Wang","Qiang","Q.","true","101364513"
"112",34,"true","2","https://api.elsevier.com/content/author/author_id/58149611200","58149611200",NA,"Ch’ng E.","Ch’ng","Eugene","E.","true","60104720"
"113",34,"true","3","https://api.elsevier.com/content/author/author_id/57204963765","57204963765","0000-0002-0667-4511","Xu X.","Xu","Xiaoshu","X.",NA,NA
"114",34,"true","4","https://api.elsevier.com/content/author/author_id/58149870400","58149870400",NA,"Wang J.","Wang","Jun","J.",NA,NA
"115",34,"true","5","https://api.elsevier.com/content/author/author_id/57285601600","57285601600",NA,"Zhang Y.","Zhang","Yunfeng","Y.","true","101364513"
"116",35,"true","1","https://api.elsevier.com/content/author/author_id/57189343074","57189343074",NA,"Sun B.","Sun","Bing","B.","true","60003353"
"117",35,"true","2","https://api.elsevier.com/content/author/author_id/57209139855","57209139855","0000-0003-2332-1790","Kang M.","Kang","Min","M.","true","60003353"
"118",35,"true","3","https://api.elsevier.com/content/author/author_id/57209144581","57209144581",NA,"Zhao S.","Zhao","Shunyao","S.","true","60003353"
"119",36,"true","1","https://api.elsevier.com/content/author/author_id/58132025500","58132025500",NA,"Burkov I.","Burkov","Ivan","I.","true","60020513"
"120",36,"true","2","https://api.elsevier.com/content/author/author_id/57190009104","57190009104",NA,"Gorgadze A.","Gorgadze","Aleksei","A.","true","60020513"
"121",36,"true","3","https://api.elsevier.com/content/author/author_id/57209540581","57209540581",NA,"Trabskaia I.","Trabskaia","Iuliia","I.","true","60068856"
"122",37,"true","1","https://api.elsevier.com/content/author/author_id/57204795068","57204795068","0000-0001-8187-9165","Lappeman J.","Lappeman","James","J.","true","60000356"
"123",37,"true","2","https://api.elsevier.com/content/author/author_id/58127074500","58127074500",NA,"Goder A.","Goder","Aliah","A.","true","60000356"
"124",37,"true","3","https://api.elsevier.com/content/author/author_id/58127621300","58127621300",NA,"Naicker K.","Naicker","Kalencia","K.","true","60000356"
"125",37,"true","4","https://api.elsevier.com/content/author/author_id/58127807600","58127807600",NA,"Faruki H.","Faruki","Hamza","H.","true","60000356"
"126",37,"true","5","https://api.elsevier.com/content/author/author_id/57216222548","57216222548",NA,"Gordon P.","Gordon","Patrick","P.","true","128158317"
"127",38,"true","1","https://api.elsevier.com/content/author/author_id/58121668900","58121668900",NA,"Nam J.","Nam","Jahyun","J.","true","129240844"
"128",38,"true","2","https://api.elsevier.com/content/author/author_id/57894041800","57894041800",NA,"Choi J.W.","Choi","Jee Woo","J.W.","true","129240844"
"129",38,"true","3","https://api.elsevier.com/content/author/author_id/56712241900","56712241900",NA,"Shin Y.G.","Shin","Yong Goo","Y.G.","true","60007163"
"130",38,"true","4","https://api.elsevier.com/content/author/author_id/55655256500","55655256500",NA,"Park S.","Park","Seung","S.","true","60105250"
"131",39,"true","1","https://api.elsevier.com/content/author/author_id/58108429200","58108429200","0000-0001-8653-0990","Chang H.H.","Chang","Hannah H.","H.H.",NA,NA
