"","entry_number","@_fa","affiliation_url","afid","affilname","affiliation_city","affiliation_country","continent"
"105",48,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60032389","60032389","Hebei University of Technology","Tianjin","China","Asia"
"106",48,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60021666","60021666","Nanjing University of Aeronautics and Astronautics","Nanjing","China","Asia"
"107",49,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60123369","60123369","Antai College of Economics and Management","Shanghai","China","Asia"
"108",49,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60006019","60006019","China University of Geosciences","Wuhan","China","Asia"
"109",50,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60173004","60173004","Nottingham University Business School China","Ningbo","China","Asia"
"110",50,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60170457","60170457","Essex Business School","Colchester","United Kingdom","Europe"
"111",50,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60170149","60170149","Cardiff Business School","Cardiff","United Kingdom","Europe"
"112",50,"true","https://api.elsevier.com/content/affiliation/affiliation_id/128024275","128024275","Nottingham Ningbo China Beacons of Excellence Research and Innovation Institute","Ningbo","China","Asia"
"113",51,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60004538","60004538","Dalian University of Technology","Dalian","China","Asia"
"114",52,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60030162","60030162","Columbia University","New York","United States","Americas"
"115",52,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60011019","60011019","Queensland University of Technology","Brisbane","Australia","Oceania"
"116",53,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60032873","60032873","Shahid Beheshti University","Tehran","Iran","Asia"
"117",54,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60104119","60104119","Islamic University of Technology","Gazipur","Bangladesh","Asia"
"118",54,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60077041","60077041","International Islamic University Chittagong","Dhaka","Bangladesh","Asia"
"119",54,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60030835","60030835","University of Alberta","Edmonton","Canada","Americas"
"120",54,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60013575","60013575","Selçuk Üniversitesi","Selçuklu","Turkey","Asia"
"121",54,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60000036","60000036","Universidade Federal do Rio de Janeiro","Rio de Janeiro","Brazil","Americas"
"122",55,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60072904","60072904","Macao Polytechnic University","Macau","Macao","Asia"
"123",56,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60170563","60170563","Faculty of Business and Law","Portsmouth","United Kingdom","Europe"
"124",56,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60012603","60012603","Ankara Üniversitesi","Ankara","Turkey","Asia"
"125",57,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60030480","60030480","University of Bath","Bath","United Kingdom","Europe"
"126",57,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60018940","60018940","Universidad Rey Juan Carlos","Madrid","Spain","Europe"
"127",57,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60010844","60010844","Universitat d'Alacant","Alicante","Spain","Europe"
"128",58,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60123703","60123703","Loughborough University London","London","United Kingdom","Europe"
"129",58,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60105147","60105147","Regent's University London","London","United Kingdom","Europe"
"130",58,"true","https://api.elsevier.com/content/affiliation/affiliation_id/126729199","126729199","Qtati.com","London","United Kingdom","Europe"
"131",59,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60022317","60022317","University of Macau","Taipa","Macao","Asia"
"132",59,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60021182","60021182","Sun Yat-Sen University","Guangzhou","China","Asia"
"133",59,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60017456","60017456","Jinan University","Guangzhou","China","Asia"
"134",59,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60000937","60000937","Shenzhen University","Shenzhen","China","Asia"
"135",60,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60018805","60018805","Deakin University","Geelong","Australia","Oceania"
"136",61,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60013789","60013789","Beihang University","Beijing","China","Asia"
"137",62,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60031791","60031791","Governors State University","University Park","United States","Americas"
"138",62,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60013682","60013682","Seoul National University","Seoul","South Korea","Asia"
"139",63,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60138449","60138449","Mays Business School","College Station","United States","Americas"
"140",63,"true","https://api.elsevier.com/content/affiliation/affiliation_id/127824194","127824194","Oracle","College Station","United States","Americas"
"141",64,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60003353","60003353","Harbin Engineering University","Harbin","China","Asia"
"142",66,NA,NA,NA,NA,NA,NA,NA
"143",66,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60177637","60177637","King’s Business School","London","United Kingdom","Europe"
"144",67,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60119111","60119111","Schulich School of Business","Toronto","Canada","Americas"
"145",67,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60024063","60024063","University of Massachusetts Boston","Boston","United States","Americas"
"146",67,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60022452","60022452","Wharton School of the University of Pennsylvania","Philadelphia","United States","Americas"
"147",68,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60113134","60113134","Beedie School of Business","Burnaby","Canada","Americas"
"148",69,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60113192","60113192","Universitat Ramon Llull, ESADE","Barcelona","Spain","Europe"
"149",69,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60030804","60030804","Swinburne University of Technology","Hawthorn","Australia","Oceania"
"150",69,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60017511","60017511","National Chung Hsing University","Taichung","Taiwan","Asia"
"151",69,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60002214","60002214","University of San Diego","San Diego","United States","Americas"
"152",70,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60022112","60022112","Universidad Popular Autónoma del Estado de Puebla","Puebla","Mexico","Americas"
"153",71,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60119111","60119111","Schulich School of Business","Toronto","Canada","Americas"
"154",71,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60116478","60116478","Alberta School of Business","Edmonton","Canada","Americas"
"155",71,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60116234","60116234","Tepper School of Business","Pittsburgh","United States","Americas"
"156",71,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60090931","60090931","Henry B. Tippie College of Business","Iowa City","United States","Americas"
"157",71,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60025038","60025038","University of California, Berkeley","Berkeley","United States","Americas"
"158",71,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60024063","60024063","University of Massachusetts Boston","Boston","United States","Americas"
"159",71,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60022452","60022452","Wharton School of the University of Pennsylvania","Philadelphia","United States","Americas"
"160",71,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60007363","60007363","Northwestern University","Evanston","United States","Americas"
"161",72,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60104438","60104438","Istanbul Medeniyet University","Istanbul","Turkey","Asia"
