"citing_art";"scopus_id"
"SCOPUS_ID:85143761358";"57249084011"
"SCOPUS_ID:85076527722";"57249084011"
"SCOPUS_ID:85139115612";"27844518793"
"SCOPUS_ID:85068532597";"27844518793"
"SCOPUS_ID:85142372695";"84960980241"
"SCOPUS_ID:85150089813";"85083815650"
"SCOPUS_ID:85147259597";"85083815650"
"SCOPUS_ID:85101453495";"85083815650"
"SCOPUS_ID:85118220280";"85083815650"
"SCOPUS_ID:85153514480";"85043751872"
"SCOPUS_ID:85116481460";"85043751872"
"SCOPUS_ID:85105491201";"85043751872"
"SCOPUS_ID:85116363679";"44949168308"
"SCOPUS_ID:85117069469";"44949168308"
"SCOPUS_ID:85143761358";"1542382496"
"SCOPUS_ID:85141229738";"1542382496"
"SCOPUS_ID:85109633827";"1542382496"
"SCOPUS_ID:85116481460";"1542382496"
"SCOPUS_ID:85102463024";"1542382496"
"SCOPUS_ID:85091434156";"1542382496"
"SCOPUS_ID:85083557523";"1542382496"
"SCOPUS_ID:84905976163";"1542382496"
"SCOPUS_ID:85166630306";"84898956512"
"SCOPUS_ID:85158916650";"84898956512"
"SCOPUS_ID:85119271011";"84898956512"
"SCOPUS_ID:85122333187";"84898956512"
"SCOPUS_ID:85116899884";"84898956512"
"SCOPUS_ID:85121141262";"84898956512"
"SCOPUS_ID:85118220280";"84898956512"
"SCOPUS_ID:85060661202";"84898956512"
"SCOPUS_ID:85076527722";"84898956512"
"SCOPUS_ID:85065283005";"84898956512"
"SCOPUS_ID:85063777896";"84898956512"
"SCOPUS_ID:85063434374";"84898956512"
"SCOPUS_ID:85063814803";"84898956512"
"SCOPUS_ID:85060306885";"84898956512"
"SCOPUS_ID:85059171693";"84898956512"
"SCOPUS_ID:85131811168";"84961289992"
"SCOPUS_ID:85166630306";"84961289992"
"SCOPUS_ID:85163206315";"84961289992"
"SCOPUS_ID:85159567297";"84961289992"
"SCOPUS_ID:85122333187";"84961289992"
"SCOPUS_ID:85138684672";"84961289992"
"SCOPUS_ID:85121141262";"84961289992"
"SCOPUS_ID:85118220280";"84961289992"
"SCOPUS_ID:85065283005";"84961289992"
"SCOPUS_ID:85044845432";"84961289992"
"SCOPUS_ID:85166624123";"16264378"
"SCOPUS_ID:85109761157";"16264378"
"SCOPUS_ID:85111897801";"69149107165"
"SCOPUS_ID:85139115612";"69149107165"
"SCOPUS_ID:85060065630";"84969584486"
"SCOPUS_ID:85111638251";"342775775"
"SCOPUS_ID:85102463024";"342775775"
"SCOPUS_ID:85083798336";"77951622706"
"SCOPUS_ID:85109633827";"84984950690"
"SCOPUS_ID:85153514480";"85083951332"
"SCOPUS_ID:85163206315";"85083951332"
"SCOPUS_ID:85150089813";"85083951332"
"SCOPUS_ID:85138684672";"85083951332"
"SCOPUS_ID:85121141262";"85083951332"
"SCOPUS_ID:85118220280";"85083951332"
"SCOPUS_ID:85101263846";"85083951332"
"SCOPUS_ID:85088942130";"85083951332"
"SCOPUS_ID:85071944121";"85083951332"
"SCOPUS_ID:85063777896";"85083951332"
"SCOPUS_ID:85063434374";"85083951332"
"SCOPUS_ID:85063814803";"85083951332"
"SCOPUS_ID:85060306885";"85083951332"
"SCOPUS_ID:85044845432";"85083951332"
"SCOPUS_ID:85148341584";"48249153186"
"SCOPUS_ID:85119271011";"30211964"
"SCOPUS_ID:85055277517";"30211964"
"SCOPUS_ID:84979529977";"30211964"
"SCOPUS_ID:85142372695";"84906493406"
"SCOPUS_ID:85108345184";"51249177591"
"SCOPUS_ID:85083798336";"84986296808"
"SCOPUS_ID:85060040462";"22471098"
"SCOPUS_ID:85135121811";"74949117960"
"SCOPUS_ID:84969884848";"84881844837"
"SCOPUS_ID:84873287978";"84881844837"
"SCOPUS_ID:85150855178";"346586663"
"SCOPUS_ID:85047658500";"346586663"
"SCOPUS_ID:85060040462";"84924051598"
"SCOPUS_ID:85116481460";"34549672"
"SCOPUS_ID:85108701962";"84995186518"
"SCOPUS_ID:85121141262";"85090176877"
"SCOPUS_ID:85060040462";"77956031473"
"SCOPUS_ID:85150739173";"12044258070"
"SCOPUS_ID:85135121811";"12044258070"
"SCOPUS_ID:85108701962";"12044258070"
"SCOPUS_ID:85040798247";"12044258070"
"SCOPUS_ID:85106373785";"84944178665"
"SCOPUS_ID:84981276334";"84944178665"
"SCOPUS_ID:25844441713";"84944178665"
"SCOPUS_ID:85116026520";"85036258669"
"SCOPUS_ID:85058647683";"27144489164"
"SCOPUS_ID:85134811050";"84989133012"
"SCOPUS_ID:85102463024";"84989133012"
